,act1,act101,act102,act103,act104,act105,act106,act107,act108,act109,act110,act111,act112,act113,act114,act115,act116,act117,act118,act2,act201,act202,act203,act204,act205,act206,aer1,aer101,aer102,aer103,aer104,aer105,aer106,aer107,aer108,aer109,aer2,aer4,aer5,air2,air5,air6,air7,air8,air9,airact,airact01,airact02,airact03,airact04,airact05,airact06,airact07,airact08,airact09,airgo,bad1,bad101,bad102,bad103,bad104,bad105,bad106,bad107,bad108,bad109,bad2,bad4,bad5,base1,base101,base102,base103,base104,base105,base106,base107,base108,base2,base3,base4,base5,bask1,bask101,bask102,bask103,bask104,bask105,bask106,bask107,bask108,bask109,bask2,bask3,bask5,bask6,beach1,beach101,beach102,beach103,beach104,beach105,beach106,beach107,beach108,beach109,beach110,beach111,beach2,beach4,beach5,bikeact,boat,boat01,boat02,boat03,boat04,boat05,boat06,boat07,boatact,branch1,branch2,campact,cent1,comm1,comm101,comm102,comm103,comm104,comm105,comm106,comm107,comm108,comm109,comm12,comm2,dgprk1,dgprk13,dgprk14,disc,disc01,disc02,disc03,disc04,disc05,discgo,equact,fieldact,fshact,haskid,hiweight,huntact,idnumber,infac,loweight,nat1,natact,natact01,natact02,natact03,natact04,natact05,offact,othact,othact01,othact02,othact03,othact04,othact05,othact06,othact07,othact08,othst,picact,pool1,r1,seepart,sno1,sno2,snoact,snoact01,snoact02,snoact03,snoact04,snoact05,snoact06,snoact07,snoact08,snoact09,snoact10,snoact11,snoice,swim1,swim101,swim102,swim103,swim104,swim105,swim106,swim107,swim108,swim109,swim110,swim111,swim112,swim113,swim114,swim2,swim3,ult1,ult13,ult14,wat1,wat2,wat3,wat4,watact,watact01,watact02,watact03,watact04,watact05,watact06,watact07,watact08,watact09,watact10,watact11,watact12,white1
163,111111000011001000,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,Satisfied,Highly satisfied,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,100000100,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,No,50,Satisfied,Satisfied,10010000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,7,Satisfied,Satisfied,Yes,,,,,,,,,No,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,4263.58,Yes,158.00,No,1.07,10,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,10110000,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,No,Yes,15,Bike riding,No,,,,,,,,,,,,,,,No,10001001000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,110000000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,
164,111010000000000,Not checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,100100,Checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,,,,,,,,,,3,,5,100100000,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,7,Highly satisfied,Highly satisfied,Yes,1001100,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,1,,,,,,,,,,,,,6,Satisfied,Satisfied,1100,Not checked,Checked,Checked,Not checked,Not checked,Yes,No,Yes,Yes,No,9429.00,Yes,159.00,No,2.37,20,10010,Checked,Not checked,Not checked,Checked,Not checked,Yes,1010000,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,No,Yes,10,Other activities,Yes,4,,110000000,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,10010001000000,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,7,Satisfied,Satisfied,11,3,2,1,111111001100,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,5
165,100001000000000000,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1100000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,5117.96,No,160.00,No,1.29,20,110,Not checked,Not checked,Checked,Checked,Not checked,No,10011000,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,No,Yes,,Hunting and shooting,No,,3,11100010000,Checked,Checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Yes,1000100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Satisfied,Satisfied,,,,20,20,5,,1010001000,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,50
166,111001000000000000,Checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,4,Neither satisfied nor dissatisfied,Highly satisfied,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,100000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,270.46,No,170.00,No,1.34,11,1,Not checked,Not checked,Not checked,Not checked,Checked,No,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Equestrian activitie,No,,,,,,,,,,,,,,,No,1000000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
167,110101000001000100,Checked,Checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,100000100,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,90,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,No,10,Don't know / doesn't apply,Don't know / doesn't apply,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,3,Satisfied,Satisfied,No,100,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,388.00,Yes,161.00,No,0.69,5,1010,Not checked,Checked,Not checked,Checked,Not checked,Yes,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Air activities,Yes,,5,1000010000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Yes,101000000,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,5,,5,5,10010001100,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,
168,10000000000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,3,Satisfied,Satisfied,No,100,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,3,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,No,242.69,Yes,162.00,No,0.57,,11010,Checked,Checked,Not checked,Checked,Not checked,No,10110000,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,No,Yes,5,Snow activities,Yes,,,,,,,,,,,,,,,No,1000000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Don't know / doesn't apply,Satisfied,,,,,,,,100000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,
169,10000000000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,10,Satisfied,Satisfied,,,,,,,No,No,No,Yes,No,262.85,No,163.00,No,0.47,,1010,Not checked,Checked,Not checked,Checked,Not checked,Yes,11000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,90,Snow activities,Yes,,,,,,,,,,,,,,,No,100000000,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
170,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,2961.50,Yes,164.00,No,0.74,,1,Not checked,Not checked,Not checked,Not checked,Checked,No,110000,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,No,No,,Bike riding,No,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
171,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,5367.86,No,166.00,No,1.35,,1,Not checked,Not checked,Not checked,Not checked,Checked,No,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,No,Yes,,Disc-related activit,No,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
172,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,5613.75,No,167.00,No,1.34,,1010,Not checked,Checked,Not checked,Checked,Not checked,No,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Bike riding,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
173,11000000000000,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,178.20,No,168.00,No,0.71,15,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,10100000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,15,Equestrian activitie,No,,,,,,,,,,,,,,,No,10100000000,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
174,100011000000000000,Checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,5367.86,No,169.00,No,1.35,7,1010,Not checked,Checked,Not checked,Checked,Not checked,No,10100000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,3,Other activities,No,,,,,,,,,,,,,,,No,10001000000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
175,100000000000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,100,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,No,4201.59,No,172.00,No,1.06,,1,Not checked,Not checked,Not checked,Not checked,Checked,No,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Nature activities,No,,1,1000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
176,11001000000000100,Not checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,No,100,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,1,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,270.46,Yes,173.00,No,1.34,5,11100,Checked,Checked,Checked,Not checked,Not checked,Yes,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Snow activities,Yes,,,,,,,,,,,,,,,No,1000000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,
177,1000000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,No,24,Satisfied,Satisfied,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Satisfied,Satisfied,No,,,,,,,,,No,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,5117.96,No,175.00,No,1.29,,1,Not checked,Not checked,Not checked,Not checked,Checked,Yes,10110000,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Other activities,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,
178,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,100000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,At least 18,At least 18,No,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,262.85,No,176.00,No,0.47,,1,Not checked,Not checked,Not checked,Not checked,Checked,No,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,No,Yes,,Snow activities,Yes,1,,10100000,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
179,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,294.55,No,177.00,No,1.74,,1010,Not checked,Checked,Not checked,Checked,Not checked,No,10010000,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Snow activities,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
180,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,Yes,Yes,No,No,No,4201.59,No,178.00,No,1.06,,1,Not checked,Not checked,Not checked,Not checked,Checked,No,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,No,Yes,,Camping,Yes,,6,1000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
181,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,100,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,472.30,No,179.00,No,1.59,,10,Not checked,Not checked,Not checked,Checked,Not checked,No,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Camping,No,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
182,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,406.50,No,187.00,No,1.43,,1,Not checked,Not checked,Not checked,Not checked,Checked,No,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Equestrian activitie,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
183,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,No,At least 18,At least 18,No,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,912.05,No,391.00,No,0.71,,10,Not checked,Not checked,Not checked,Checked,Not checked,No,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,No,Yes,,Other activities (Pe,No,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,
184,101011000101011000,Checked,Not checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,34,Satisfied,Dissatisfied,100100000,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,50,Satisfied,Satisfied,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,5,Satisfied,Satisfied,Yes,100,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,At least 18,At least 18,Yes,2,100000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,3,Yes,,,,,,,,,,No,No,Yes,Yes,Yes,270.46,Yes,180.00,Yes,1.34,30,11110,Checked,Checked,Checked,Checked,Not checked,No,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,15,Water activities,No,,10,1000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,10000000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,25,,,,110010000000,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,
185,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Don't know / doesn't apply,Don't know / doesn't apply,No,,,,,,,,,No,At least 18,At least 18,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,294.55,No,181.00,No,1.74,,10010,Checked,Not checked,Not checked,Checked,Not checked,No,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,Yes,,Other activities,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,100000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,
